the_geom,MainStreet,CrossStree,Install_Da,LONG,LAT,X,Y
POINT (-73.90010016868537 40.69831983344008),Seneca Avenue,Norman Street,05/07/2020 12:00:00 AM,-73.9001001687,40.6983198334,1011951.00003,193709.000099
POINT (-73.90768895130144 40.70281112055832),Seneca Avenue,Palmetto Street,05/07/2020 12:00:00 AM,-73.9076889513,40.7028111206,1009844.99998,195343.000112
POINT (-73.89937233077256 40.69789101541087),Seneca Avenue,Summerfield Street,05/07/2020 12:00:00 AM,-73.8993723308,40.6978910154,1012152.99996,193553.000083
POINT (-73.90695021115141 40.702371362987904),Seneca Avenue,Woodbine Street,05/07/2020 12:00:00 AM,-73.9069502112,40.702371363,1010049.9999,195183.000104
POINT (-73.84525603593245 40.71944053297984),71 Avenue,Burns Street,05/12/2020 12:00:00 AM,-73.8452560359,40.719440533,1027145.00016,201426.000085
POINT (-73.84709898510447 40.716508842080955),71 Avenue,Fleet Street,05/12/2020 12:00:00 AM,-73.8470989851,40.7165088421,1026635.99986,200356.999926
POINT (-73.84790273293613 40.71523084622186),71 Avenue,Harrow Street,05/12/2020 12:00:00 AM,-73.8479027329,40.7152308462,1026413.99998,199890.999874
POINT (-73.97955756182725 40.63291214494516),17 Avenue,43 Street,05/12/2020 12:00:00 AM,-73.9795575618,40.6329121449,989924.000123,169863.999889
POINT (-73.98014138552453 40.63235505546463),17 Avenue,44 Street,05/12/2020 12:00:00 AM,-73.9801413855,40.6323550555,989762.000119,169660.999967
POINT (-73.98072159830147 40.63179247281652),17 Avenue,45 Street,05/12/2020 12:00:00 AM,-73.9807215983,40.6317924728,989601.000113,169456.000049
POINT (-73.98130900598427 40.63123263316113),17 Avenue,46 Street,05/12/2020 12:00:00 AM,-73.981309006,40.6312326332,989438.000111,169252.000129
POINT (-73.98188919841546 40.63067278843579),17 Avenue,47 Street,05/12/2020 12:00:00 AM,-73.9818891984,40.6306727884,989277.000105,169047.99988
POINT (-73.98240454466496 40.630069015210125),17 Avenue,48 Street,05/12/2020 12:00:00 AM,-73.9824045447,40.6300690152,989134.000063,168827.999992
POINT (-73.98305315671313 40.629553092433525),17 Avenue,49 Street,05/12/2020 12:00:00 AM,-73.9830531567,40.6295530924,988954.000094,168640.00004
POINT (-73.9836369225198 40.628993240219785),17 Avenue,50 Street,05/12/2020 12:00:00 AM,-73.9836369225,40.6289932402,988792.00009,168436.00012
POINT (-73.98420266239701 40.628447105553796),17 Avenue,51 Street,05/12/2020 12:00:00 AM,-73.9842026624,40.6284471056,988635.000076,168236.999862
POINT (-73.98480442475172 40.62787352589968),17 Avenue,52 Street,05/12/2020 12:00:00 AM,-73.9848044248,40.6278735259,988468.000082,168027.999952
POINT (-73.98538455866009 40.6273136642362),17 Avenue,53 Street,05/12/2020 12:00:00 AM,-73.9853845587,40.6273136642,988307.000076,167824.000032
POINT (-73.98596828474531 40.62675654483623),17 Avenue,54 Street,05/12/2020 12:00:00 AM,-73.9859682847,40.6267565448,988145.000072,167621.00011
POINT (-73.98713931116515 40.62563680697992),17 Avenue,56 Street,05/12/2020 12:00:00 AM,-73.9871393112,40.625636807,987820.000066,167212.999941
